description,rate
Wszystko zgodnie z opisem. Wysoki poziom obslugi. Polecam,1
Solidny i żetelny sklep polecam wszystkim 100 procęt zadowolenia,1
Profesjonalizm i szybkość działania,1
chciałbym polecić zakupy w sklepie North.Ocena sklepu mówi sama za siebie mogę tylko dodać że cenny w sklepie są na poziomie punku ""10"""Dotychczas nie spotkałem się z tak rewelacyjnie szybkimi odpowiedziami na moje emaile. Nie dość  że szybkie to i konkretne. A realizacja zamówienia + koszty wysyłki to mistrzostwo świata. Oby tak dalej.,1
Świetny sklep z częściami do agd. Dzięki nim zreaktywowałem dwa sprzęty bez pomocy serwisu. Pomogli mi dobrać części. Jestem bardzo zadowolony.,1
Realizacja zamówienia szybka i bezproblemowa.Żadnych problemów ze zwrotem towaru.,1
Rewelacja. Szybko  sprawnie i bez najmniejszych problemów.,1
Wielki ogromny pozytyw. Zamówiłem szufladę do lodówki. Okazało się  że się pomyliłem. Zadzwoniłem ustaliliśmy właściwą. Za 2 dni kurier dostarczył to co trzeba i odebrał mój nietrafiony zakup !! Sklep policzył mi tylko różnicę pomiędzy szufladami !! Szacun - Mega Szacun. dla firmy i nauczka dla mnie aby jednak zadzwonić i doprecyzować zakupowany towar. Bardzo dziękuję za współpracę !,1
Sklep jest bardzo dobry. Jestem zadowolony z realizacji zamówienia. Polecam innym.,1
Polecam,1
Jest wszystko w porządku nawet po złożeniu reklamacji..  która wyszła przez przeoczenie danych zamówienia.,1
Dobrze zaopatrzony  super i fachowa obsługa  bardzo szybka realizacja,1
tranzakcja pomyślnie polecam !!!,1
Duży asortyment  błyskawiczne zakupy,1
Godny uwagi  dobrze zaopatrzony,1
szybko profesjonalnie i sprawnie. Liczymy na dalszą współpracę,1
3xN (na czs  na miejsce  napewno !!!!!!! POLECAM,1
Bezproblemowa obsługa. Polecam.,1
Wysyłają numer listu przewozowego co zdecydowanie ułatwia życie.Wszystko w jak najlepszym porządku. Polecam towar oryginalny,1
Sklep rewelacja. Bardzo szeroki asortyment. Na North zawsze można liczyć."szybko  sprawnie  bez zbędnych formalności. Monitorowanie statusu przesyłki - super,1
Super sklep  duży asortyment  wszystko odbywa się szybko i sprawnie  tak jak powinno być.,1
Najlepszy sklep z częściami AGD,1
Transakcja zrealizowana w ekspresowym tempie. Towar zgodny z opisem. Sklep w 100% godny polecenia.,1
Dobry kontakt  szybko i przede wszystkim dobry towar!,1
Profesjonalna obsługa  szybka dostawa. Polecam wszystkim.,1
Produkt taki sam jak w innych sklepach  jednak cena znacznie niższa. Zapakowane w taki sposób że w nienaruszonym stanie dotarły do nas. Na pewno jeszcze zamówimy w Arosie książki,1
Bardzo szybka realizacja. Wiele ciekawych pozycji.,1
Szybki  duży wybór  bardzo dobre ceny.,1
Ksiazki bezpiecznie zapakowane ale standaryzacja opakowan powosuje duze marnotrastwo papieru.,1
Ceny bardzo przystępne. Super. towar zgodny z opisem. Polecam,1
Tanio i błyskawiczna realizacja. Polecam,1
Duży wybór  konkurencyjne ceny  błyskawiczna dostawa.,1
Rewelacja. Polecam sklep aros.pl. Szybka realizacja zamówienia oraz bardzo dobre ceny.,1
Wszystko w najlepszym porzadku  polecam!,1
Bardzo miła profesjonalna obsługa jestem bardzo zadowolona z zrealizowanego zlecenia.Zakupy na Aros.pl to ZAWSZE UDANE ZAKUPY. I to pod każdym względem. Szczerze wszystkim polecam!,1
Poprzez niepodanie adresu korespondencyjnego odmówiono mi możliwości złożenia reklamacji książki z ewidentną wadą introligatorską (wypadają z niej kartki). Uzasadnienie - uszkodzenie mechaniczne  a ""egzemplarz otrzymał Pan dobry"". Próbowałem  argumentowałem  ale postawa Arosa to w skrócie ""nie  bo nie"". Sprawa drobna  ale osad pozostał :(,-1
Szybko i przyjemnie ;)Wszystko poszło bardzo sprawnie i szybko. Polecam.,1
Zamówiony towar szybko dostarczony  dobrze opakowany. Wszystko poszło sprawnie. Polecam.,1
Bardzo profesjonalne podejście do klienta.,1
Profesjonalizm  super kontakt  Polecam :),1
Bardzo fajny i przydatny sklep ;),1
duży wybór  ceny przystępne  polecam,1
Jestem bardzo zadowolona z zakupów w tej aptece.,1
Transakcja przeprowadzona sprawnie  bez żadnych zakłóceń. Zamówiony towar jest sprawny. Można polecić.,1
Bardzo szybka dostawa.,1
Rewelacyjna obsługa jestem zadowolona,1
Polecam sklep transakcja przebiegła szybko i sprawnie .,1
Wszystko super  szybka realizacja zamówienia  konkurencyjne ceny.,1
Paczka przyszła szybko  produkty bardzo dobrze zabezpieczone przed wylaniem. Polecam aptekę :),1
Szybka  profesjonalna obsługa. godna polecenia,1
Polecam sklep w 100%. Szybka wysyłka :),1
Super. Moje kolejne zakupy. Szybko  sprawnie i bezproblemowo.,1
Dobra cena  szybka przesyłka  czego chcieć więcej,1
dobra obsługa  szybka wysyłka  towar dobrze zapakowany i zgodny z zamówieniem,1
Kolejny zakup i wszystko OK. Szybko i bezproblemowo.,1
Czytelna strona i łatwa obsługa. Zakupy przebiegły bez problemu.,1
super szybka dostawa  towar b. dobrze zapakowany. b. polecam.,1
Konkurencyjne ceny  szybka wysyłka  świetne produkty.,1
polecam! transakcja przebiegła pomy ślnie,1
Sklep godny zaufania. Towar dobrej jakości-oryginalny  miły kontakt  szybka dostawa. Polecam!,1
Z zakupów w tej aptece jestem bardzo zadowolona i polecam wszystkim ponieważ moje zamówienie zostało w całości zrealizowane i bez jakichkolwiek opóźnień.,1
profesjonalnie  szybko i niezawodnie,1
Profesjonalna obsługa. Super szybka wysylka.,1
Profesjonalna obsługa. Szybka transakcja. Buciki piękne takie jak chciałam dla córeczki. Jednak opakowanie zostało uszkodzone i otwarte najprawdopodobniej podczas transportu. Na szczęście bucika nic się nie stało.,1
Jak zwykle expresowa przesyłka. Wszystko na + !,1
Rewelavjs. Zaryzykowalam rozmiar 37 chociaż inne buty tej firmy nosze raczej 38 i są dobre. Polecam !!,1
Błyskawiczna dostawa  Nigdzie indziej tak nie ma,1
Jeszcze nie raz skorzystam z Państwa usług SUPER,1
Profesjonalna obsługa polecam w 100 %,1
Profesjonalna obsługa bardzo szybka dostawa. Polecam w 100%,1
Błyskawicznie i bez żadnych problemów.,1
Zawsze 100% zadowolenie z profesjonalnej  szybkiej obsługi sklepu!,1
Buty piękne ( niestety za duże).Bardzo dobrze i szybko realizowane zamówienia,1
Szybka wysyłka  sprawna i miła obsługa. Jestem zadowolona,1
Błyskawiczna wysyłka  zwroty bez problemu. Polecam sklep.,1
Świetny zakup  super cena  jakość +++,1
Polecam jakość obsługi a przedewszystkim szybkość realizacji zamówienia genialna.,1
Bardzo solidne  rzeczowe i sumenne traktowanie klienta. Jestem zadowolona z realizacji mojego zamówienia.,1
