description,length,rate
Wszystko zgodnie z opisem. Wysoki poziom obslugi. Polecam,57.0,1
Solidny i żetelny sklep polecam wszystkim 100 procęt zadowolenia,64.0,1
Profesjonalizm i szybkość działania,35.0,1
chciałbym polecić zakupy w sklepie North.Ocena sklepu mówi sama za siebie mogę tylko dodać że cenny w sklepie są na poziomie punku ""10""
"Dotychczas nie spotkałem się z tak rewelacyjnie szybkimi odpowiedziami na moje emaile. Nie dość, że szybkie to i konkretne. A realizacja zamówienia + koszty wysyłki to mistrzostwo świata. Oby tak dalej.",202.0,1
Świetny sklep z częściami do agd. Dzięki nim zreaktywowałem dwa sprzęty bez pomocy serwisu. Pomogli mi dobrać części. Jestem bardzo zadowolony.,143.0,1
Realizacja zamówienia szybka i bezproblemowa.Żadnych problemów ze zwrotem towaru.,81.0,1
"Rewelacja. Szybko, sprawnie i bez najmniejszych problemów.",58.0,1
"Wielki ogromny pozytyw. Zamówiłem szufladę do lodówki. Okazało się, że się pomyliłem. Zadzwoniłem ustaliliśmy właściwą. Za 2 dni kurier dostarczył to co trzeba i odebrał mój nietrafiony zakup !! Sklep policzył mi tylko różnicę pomiędzy szufladami !! Szacun - Mega Szacun. dla firmy i nauczka dla mnie aby jednak zadzwonić i doprecyzować zakupowany towar. Bardzo dziękuję za współpracę !",386.0,1
Sklep jest bardzo dobry. Jestem zadowolony z realizacji zamówienia. Polecam innym.,82.0,1
Polecam",93.0,1
"Jest wszystko w porządku nawet po złożeniu reklamacji.., która wyszła przez przeoczenie danych zamówienia.",106.0,1
"Dobrze zaopatrzony, super i fachowa obsługa, bardzo szybka realizacja",69.0,1
tranzakcja  pomyślnie polecam !!!,33.0,1
"Duży asortyment, błyskawiczne zakupy",36.0,1
"Godny uwagi, dobrze zaopatrzony",31.0,1
szybko profesjonalnie i sprawnie. Liczymy na dalszą współpracę,62.0,1
"3xN (na czs, na miejsce, napewno !!!!!!!   POLECAM",50.0,1
Bezproblemowa obsługa. Polecam.,31.0,1
Wysyłają numer listu przewozowego co zdecydowanie ułatwia życie.
Wszystko w jak najlepszym porządku. Polecam towar oryginalny,60.0,1
"Sklep rewelacja. Bardzo szeroki asortyment. Na North zawsze można liczyć.
"szybko, sprawnie, bez zbędnych formalności. Monitorowanie statusu przesyłki - super",83.0,1
"Super sklep, duży asortyment, wszystko odbywa się szybko i sprawnie, tak jak powinno być.",89.0,1
Najlepszy sklep z częściami AGD,31.0,1
Transakcja zrealizowana w ekspresowym tempie. Towar zgodny z opisem. Sklep w 100% godny polecenia.,98.0,1
"Dobry kontakt, szybko i przede wszystkim dobry towar!",53.0,1
"Profesjonalna obsługa, szybka dostawa. Polecam wszystkim.",57.0,1
"Produkt taki sam jak w innych sklepach, jednak cena znacznie niższa. Zapakowane w taki sposób że w nienaruszonym stanie dotarły do nas. Na pewno jeszcze zamówimy w Arosie książki",178.0,1
Bardzo szybka realizacja. Wiele ciekawych pozycji.,50.0,1
"Szybki, duży wybór, bardzo dobre ceny.",38.0,1
Ksiazki bezpiecznie zapakowane ale standaryzacja opakowan powosuje duze marnotrastwo papieru.",133.0,1
Ceny bardzo przystępne. 
Super. towar zgodny z opisem. Polecam,37.0,1
Tanio i błyskawiczna realizacja. Polecam,40.0,1
"Duży wybór, konkurencyjne ceny, błyskawiczna dostawa.",53.0,1
"Rewelacja. 
Polecam sklep aros.pl. Szybka realizacja zamówienia oraz bardzo dobre ceny.,75.0,1
"Wszystko w najlepszym porzadku, polecam!",40.0,1
"Bardzo miła profesjonalna obsługa,jestem bardzo zadowolona z zrealizowanego zlecenia.
Zakupy na Aros.pl to ZAWSZE UDANE ZAKUPY. I to pod każdym względem. Szczerze wszystkim polecam!,95.0,1
"Poprzez niepodanie adresu korespondencyjnego odmówiono mi możliwości złożenia reklamacji książki z ewidentną wadą introligatorską (wypadają z niej kartki). Uzasadnienie - uszkodzenie mechaniczne, a ""egzemplarz otrzymał Pan dobry"". Próbowałem, argumentowałem, ale postawa Arosa to w skrócie ""nie, bo nie"". Sprawa drobna, ale osad pozostał :(",340.0,-1
"Szybko i przyjemnie ;)
Wszystko poszło bardzo sprawnie i szybko. Polecam.,50.0,1
"Zamówiony towar szybko dostarczony, dobrze opakowany. Wszystko poszło sprawnie. Polecam.",88.0,1
Bardzo profesjonalne podejście do klienta.,42.0,1
"Profesjonalizm, super kontakt, Polecam :)",41.0,1
Bardzo fajny i przydatny sklep ;),33.0,1
"duży wybór, ceny przystępne, polecam",36.0,1
Jestem bardzo zadowolona z zakupów w tej aptece.,48.0,1
"Transakcja przeprowadzona sprawnie, bez żadnych zakłóceń. Zamówiony towar jest sprawny. Można polecić.",102.0,1
Bardzo szybka dostawa.",62.0,1
"Rewelacyjna obsługa,jestem zadowolona",37.0,1
Polecam sklep transakcja przebiegła szybko i sprawnie .,55.0,1
"Wszystko super, szybka realizacja zamówienia, konkurencyjne ceny.",65.0,1
"Paczka przyszła szybko, produkty bardzo dobrze zabezpieczone przed wylaniem. Polecam aptekę :)",94.0,1
"Szybka ,profesjonalna obsługa. godna polecenia",46.0,1
Polecam sklep w 100%. Szybka wysyłka :),39.0,1
"Super. Moje kolejne zakupy. Szybko, sprawnie i bezproblemowo.",61.0,1
"Dobra cena, szybka przesyłka, czego chcieć więcej",49.0,1
"dobra obsługa, szybka wysyłka, towar dobrze zapakowany i zgodny z  zamówieniem",78.0,1
Kolejny zakup i wszystko OK. Szybko i bezproblemowo.,52.0,1
Czytelna strona i łatwa obsługa. Zakupy przebiegły bez problemu.,64.0,1
"super szybka dostawa, towar b. dobrze zapakowany. b. polecam.",61.0,1
"Konkurencyjne ceny, szybka wysyłka, świetne produkty.",53.0,1
polecam! transakcja przebiegła pomy ślnie,41.0,1
"Sklep godny zaufania. Towar dobrej jakości-oryginalny, miły kontakt, szybka dostawa. Polecam!",93.0,1
